version,description,,related_cves
2.32.3,No description,,
2.32.2,No description,,
"2.32.1
                  
yanked",No description,,
"2.32.0
                  
yanked",No description,,
2.31.0,No description,,
2.30.0,No description,,
2.29.0,No description,,
2.28.2,No description,,
2.28.1,No description,,
2.28.0,No description,,
2.27.1,No description,,
2.27.0,No description,,
2.26.0,No description,,
2.25.1,No description,,
2.25.0,No description,,
2.24.0,No description,,
2.23.0,No description,,
2.22.0,No description,,
2.21.0,No description,,
2.20.1,No description,,
2.20.0,No description,,CVE-2018-18074
2.19.1,No description,,
2.19.0,No description,,
2.18.4,No description,,
2.18.3,No description,,
2.18.2,No description,,
2.18.1,No description,,
2.18.0,No description,,
2.17.3,No description,,
2.17.2,No description,,
2.17.1,No description,,
2.17.0,No description,,
2.16.5,No description,,
2.16.4,No description,,
2.16.3,No description,,
2.16.2,No description,,
2.16.1,No description,,
2.16.0,No description,,
2.15.1,No description,,
2.15.0,No description,,
2.14.2,No description,,
2.14.1,No description,,
2.14.0,No description,,
2.13.0,No description,,
2.12.5,No description,,
2.12.4,No description,,
2.12.3,No description,,
2.12.2,No description,,
2.12.1,No description,,
2.12.0,No description,,
2.11.1,No description,,
2.11.0,No description,,
2.10.0,No description,,
2.9.2,No description,,
2.9.1,No description,,
2.9.0,No description,,
2.8.1,No description,,
2.8.0,No description,,
2.7.0,No description,,
2.6.2,No description,,
2.6.1,No description,,
2.6.0,No description,,
2.5.3,No description,,
2.5.2,No description,,
2.5.1,No description,,
2.5.0,No description,,
2.4.3,No description,,
2.4.2,No description,,
2.4.1,No description,,
2.4.0,No description,,
2.3.0,No description,,
2.2.1,No description,,"CVE-2014-1829, CVE-2014-1830"
2.2.0,No description,,
2.1.0,No description,,
2.0.1,No description,,
2.0.0,No description,,
1.2.3,No description,,
1.2.2,No description,,
1.2.1,No description,,
1.2.0,No description,,
1.1.0,No description,,
1.0.4,No description,,
1.0.3,No description,,
1.0.2,No description,,
1.0.1,No description,,
1.0.0,No description,,
0.14.2,No description,,
0.14.1,No description,,
0.14.0,No description,,
0.13.9,No description,,
0.13.8,No description,,
0.13.7,No description,,
0.13.6,No description,,
0.13.5,No description,,
0.13.4,No description,,
0.13.3,No description,,
0.13.2,No description,,
0.13.1,No description,,
0.13.0,No description,,
0.12.1,No description,,
0.12.01,No description,,
0.12.0,No description,,
0.11.2,No description,,
0.11.1,No description,,
0.10.8,No description,,
0.10.7,No description,,
0.10.6,No description,,
0.10.4,No description,,
0.10.3,No description,,
0.10.2,No description,,
0.10.1,No description,,
0.10.0,No description,,
0.9.3,No description,,
0.9.2,No description,,
0.9.1,No description,,
0.9.0,No description,,
0.8.9,No description,,
0.8.8,No description,,
0.8.7,No description,,
0.8.6,No description,,
0.8.5,No description,,
0.8.4,No description,,
0.8.3,No description,,
0.8.2,No description,,
0.8.1,No description,,
0.8.0,No description,,
0.7.6,No description,,
0.7.5,No description,,
0.7.4,No description,,
0.7.3,No description,,
0.7.2,No description,,
0.7.1,No description,,
0.7.0,No description,,
0.6.6,No description,,
0.6.5,No description,,
0.6.4,No description,,
0.6.3,No description,,
0.6.2,No description,,
0.6.1,No description,,
0.6.0,No description,,
0.5.1,No description,,
0.5.0,No description,,
0.4.1,No description,,
0.4.0,No description,,
0.3.4,No description,,
0.3.3,No description,,
0.3.2,No description,,
0.3.1,No description,,
0.3.0,No description,,
0.2.4,No description,,
0.2.3,No description,,
0.2.2,No description,,
0.2.1,No description,,
0.2.0,No description,,
0.0.1,No description,,
